A	một
Adoring	tha thiết
Adoringly	tha thiết, trìu mến
Adorn	tô điểm, trang điểm
Adorner	- xem adorn
Adornment	sự tô điểm, sự trang trí, sự trang hoàng
Adown	(từ cổ,nghĩa cổ)
Adp	truy cập dữ liệu tự động (automatic  data  proccessing)
Adpressed	(thực vật) ôm sát
Adrectal	(giải phẫu) gần ruột thẳng
Adrenal	(giải phẫu) trên thận, thượng thận
Adrenal gland	- (giải phẫu) tuyến thượng thận
Adrenalectomy	(giải phẫu) việc cắt tuyến trên thận
Adrenalin	(y học) adrenalin
Adrenally	- xem adrenal
Adrenocorticotrophic	- kích thích thượng thận
Adrift	lênh đênh trôi giạt, phiêu bạt
Adroit	khéo léo, khéo tay
Adroitly	khéo léo
Adroitness	sự khéo léo, sự khéo tay
Adromia	sự mất kích thích
Adscititious	phụ vào, thêm vào, bổ sung
Adsl	- mạng thuê bao số không đồng bộ
Adsorb	(hoá học) hút bám
Adsorbable	- xem adsorb
Adsorbate	(hoá học) chất bị hút bám
Adsorbent	(hoá học) hút bám
Adsorber	(hoá học) máy hút bám
Adsorption	(hoá học) sự hút bám
Adsorptive	- xem adsorption
Adt	thời gian ban ngày ở đại tây dương (atlantic daylight time)
Adularia	(khoáng chất) trong suốt
Adulate	nịnh hót, nịnh nọt, bợ đỡ
Adulation	sự nịnh hót, sự nịnh nọt, sự bợ đỡ
Adulator	kẻ nịnh hót, kẻ nịnh nọt, kẻ bợ đỡ
Adulatory	nịnh hót, nịnh nọt, bợ đỡ
Adult	người lớn
Adulterant	để làm giả
Adulterate	có pha (rượu)
Adulteration	sự pha, sự pha trộn
Adulterator	- xem adulterate
Adulterer	người đàn ông ngoại tình, người đàn ông thông dâm
Adulteress	người đàn bà ngoại tình, người đàn bà thông dâm
Adulterous	ngoại tình, thông dâm
Adulterously	- xem adulterous
Adultery	tội ngoại tình, tội thông dâm
Adulthood	tuổi khôn lớn, tuổi trưởng thành
Adultlike	có vẻ trưởng thành
Adultness	- xem adult
Adultoid	dạng trưởng thành
Adumbral	nhiều bóng râm
Adumbrate	phác hoạ
Adumbration	sự phác hoạ, bản phác hoạ
Adumbrative	- xem adumbrate
Adumbratively	- xem adumbrate
Aduncate	- cách viết khác
Adust	cháy khô, khô nứt ra (vì ánh mặt trời...)
Advancement	sự tiến lên, sự tiến tới, sự tiến bộ
Advantage	lợi thế
Advantageous	có lợi, thuận lợi
Advantageously	thuận lợi, ích lợi
Advantageousness	tính có lợi, tính thuận lợi
Advantege	- trội hơn ưu thế
Advection	(khí tượng) bình lưu
Advehent	đồng tâm
Advene	đến
Advent	sự đến, sự tới (của một sự việc gì quan trọng)
Adventism	chúa sắp tái giáng sinh
Adventist	tín đồ tin rằng sắp đến lần giáng sinh thứ hai của chúa
Adventitia	vỡ mạch máu
Adventitious	ngẫu nhiên, tình cờ
Adventitiously	- xem adventitious
Adventitiousness	tính ngẫu nhiên, tính tình cờ
Adventure	cuộc phiêu lưu
Adventure playground	sân chơi có nhiều đồ chơi bằng gỗ và kim loại
Adventurer	người phiêu lưu, người mạo hiểm, người thích phiêu lưu mạo hiểm
Adventuresome	(từ hiếm,nghĩa hiếm) (như) adventurous
Adventuress	người đàn bà thích phiêu lưu mạo hiểm
Adventurism	chủ nghĩa phiêu lưu
Adventurist	- xem adventurism
Adventurous	thích phiêu lưu, thích mạo hiểm, phiêu lưu, mạo hiểm
Adventurously	liều lỉnh, mạo hiểm
Adventurousness	tính phiêu lưu, tính mạo hiểm
Adverb	(ngôn ngữ học) phó từ
Adverbe	(ngôn ngữ) phó từ
Adverbial	(ngôn ngữ học) (thuộc) phó từ
Adverbially	như một phó từ, theo cách thức của một phó từ
Adversary	kẻ địch, kẻ thù
Adversative	(ngôn ngữ học) đối lập
Adversatively	- xem adversative
Adverse balance	- (econ) cán cân thâm hụt.
Adverse selection	- (econ) lựa chọn trái ý
Adverse supply shock	- (econ) cú sốc cung bất lợi.
Adversely	bất lợi
Adverseness	- xem adverse
Adversity	sự bất hạnh
Advert	ám chỉ (nói hoặc viết)
Advertence	sự chú ý, sự lưu ý
Advertency	sự chú ý, sự lưu ý
Advertent	lưu ý
Advertise	báo cho biết, báo cho ai biết trước
Advertisement	sự quảng cáo
Advertiser	người báo cho biết trước
Advertising	sự quảng cáo, nghề quảng cáo
Advise	khuyên nhủ
Advised	am hiểu, hiểu biết
Advisedly	có suy nghĩ chín chắn, thận trọng
Adviser	cố vấn
Advisor	người khuyên bảo, người chỉ bảo, cố vấn
Advisory	để hỏi, để xin ý kiến
Advocacy	nhiệm vụ luật sư
Advocate	biện hộ
Aeolation	sự phong hoá
Aeolian	thông gió
Aeolight	- (tech) đèn phát sáng âm cực lạnh
Aeon	thời đại, niên kỷ
Aerate	làm thông khí, quạt gió
Aeration	sự làm thông, sự quạt gió
Aerenchyma	(sinh học) mô khí
Aerial cable	- (tech) cáp treo, cáp trên không
Aerial gain = antenna gain	- (tech) gia lượng dây trời
Aerie	tổ chim làm tít trên cao (của chim săn mồi)
Aerifecation	việc dẫn không khí
Aeriferous	dẫn không khí, chứa không khí
Aeriform	dạng hơi
Aerify	làm hoá ra thể hơi, khí hoá
Aero	phi thuyền, phi cơ
Aero-	- tiền tố có nghĩa "không khí, không gian"
Aero-engine	động cơ máy bay
Aeroballistics	khoa đạn đạo học
Aerobat	phi công nhào lộn trên không
Aerobatic	(nói về máy bay) nhào lộn trên không
Aerobatics	sự nhào lộn trên không (của máy bay)
Aerobe	vi sinh vật ưa khí
Aerobic	đói không khí, thiếu không khí
Aerobics	thể dục nhịp điệu
Aerobiological	xem aerobiology
Aerobiologically	xem aerobiology
Aerocarrier	tàu sân bay
Aeroculture	phương pháp nuôi trồng thực vật không cần đất
Aerocyste	túi khí (tảo)
Aerocyte	tế bào khí
Aerodrome	sân bay
Aerodynamic	khí động lực
Aerodynamical	khí động lực
Aerodyne	máy bay nặng hơn không khí
Aeroembolism	(y học) bệnh khí ép
Aerofoil	cánh máy bay
Aerogram	bức điện rađiô
Aerograph	máy ghi khí tượng
Aerography	môn nghiên cứu không khí và khí quyển
Aerogun	súng gắn trên máy bay
Aerohydroplane	thủy phi cơ
Aerolite	đá trời, thiên thạch
Aerolith	(thiên) thiên thạch
Aerolithology	thiên thạch học
Aesthetic	thẩm mỹ
Affair	chuyện
Affect	có ảnh hưởng đến
Afford	đủ khả năng
Afraid	sợ
African	Châu Phi
African-american	Người Mỹ gốc Phi
After	sau
Afternoon	buổi chiều
Afterward	sau đó
Again	lần nữa
Against	chống lại
Age	tuổi tác
Agency	đại lý
Agenda	chương trình nghị sự
Agent	đặc vụ
Aggression	Hiếu chiến
Aggressive	xâm lược
Ago	trước
Agree	đồng ý
Agreement	thỏa thuận
Agricultural	nông nghiệp
Agriculture	nông nghiệp
Ah	ah
Ahead	phía trước
Aid	viện trợ
Aide	trợ lý
Aids	AIDS (bệnh lây nhiễm qua đường tình dục)
Aim	mục đích
Air	không khí
Aircraft	phi cơ
Airline	hãng hàng không
Airplane	Máy bay
Airport	sân bay
Aisle	lối đi
Alarm	báo thức
Album	album
Alcohol	rượu
Alien	người ngoài hành tinh
Alike	như nhau
Alive	sống sót
All	tất cả các
Allegation	cáo buộc
Alleged	cáo buộc
Allegedly	bị cáo buộc
Alley	hẻm
Alliance	liên minh
Allow	cho phép
Ally	đồng minh
Almost	hầu hết
Alone	một mình
Along	dọc theo
Alongside	bên cạnh
Already	đã
Also	cũng thế
Alter	thay đổi
Alternative	thay thế
Although	mặc dù
Altogether	hoàn toàn
Aluminum	nhôm
Always	luôn luôn
Am	là
Amazing	kinh ngạc
Ambassador	đại sứ
Ambition	tham vọng
Ambitious	đầy tham vọng
Amendment	sửa đổi
American	Người Mỹ
Amid	giữa
Among	trong số
Amount	số lượng
Analysis	phân tích
Analyst	nhà phân tích
Analyze	phân tích
Ancestor	tổ tiên
Ancient	xưa
And	và
And/or	và / hoặc
Angel	Thiên thần
Anger	Sự phẫn nộ
Angle	góc
Angry	bực bội
Animal	thú vật
Ankle	mắt cá
Anniversary	ngày kỷ niệm
Announce	tuyên bố
Announcement	thông báo
Annual	hàng năm
Annually	hàng năm
Anonymous	vô danh
Another	khác
Answer	câu trả lời
Anticipate	đoán trước
Anxiety	sự lo ngại
Anxious	lo lắng
Any	bất kì
Anybody	bất kỳ ai
Anymore	nữa không
Anyone	bất kỳ ai
Anything	bất cứ điều gì
Anyway	dù sao
Anywhere	ở đâu
Apart	xa nhau
Apartment	căn hộ, chung cư
Apologize	xin lỗi
Apology	xin lỗi
Apparent	rõ ràng
Apparently	dường như
Appeal	kháng cáo
Appear	xuất hiện
Appearance	xuất hiện
Apple	táo
Application	ứng dụng
Apply	ứng dụng
Appoint	bổ nhiệm
Appointment	cuộc hẹn
Appreciate	đánh giá
Appreciation	sự đánh giá
Approach	tiếp cận
Appropriate	thích hợp
Approval	sự chấp thuận
Approve	tán thành
Approximately	xấp xỉ
Arab	Ả-rập
Architect	kiến trúc sư
Architecture	kiến trúc
Area	khu vực
Arena	đấu trường
Argue	tranh luận
Argument	tranh luận
Arise	nảy sinh
Arm	cánh tay
Armed	trang bị
Army	quân đội
Around	xung quanh
Arrange	sắp xếp
Arrangement	sắp xếp
Array	mảng
Arrest	bắt giữ
Arrival	sự đến
Arrive	đến nơi
Arrow	mũi tên
Art	nghệ thuật
Article	bài báo
Articulate	khớp nối
Artifact	đồ tạo tác
Artificial	nhân tạo
Artist	họa sĩ
Artistic	nghệ thuật
As	như
Ash	tro
Asian	Châu Á
Aside	qua một bên
Ask	hỏi
Asleep	ngủ
Aspect	khía cạnh
Ass	mông
Assault	tấn công
Assemble	tập hợp
Assembly	hội,, tổ hợp
Assert	khẳng định
Assess	đánh giá
Assessment	thẩm định, lượng định, đánh giá
Asset	tài sản
Assign	chỉ định
Assignment	nhiệm vụ
Assist	hỗ trợ
Assistance	hỗ trợ
Assistant	phụ tá
Associate	liên kết
Associated	liên kết
Association	hiệp hội
Assume	giả định
Assumption	giả thiết
Assure	cam đoan
Astronomer	nhà thiên văn học
At	tại
Athlete	lực sĩ
Athletic	Khỏe mạnh
Atmosphere	không khí
Atop	trên
Attach	đính kèm
Attack	tấn công
Attempt	cố gắng
Attend	tham gia
Attendance	sự tham dự
Attention	chú ý
Attitude	Thái độ
Attorney	luật sư
Attract	thu hút
Attraction	sức hút
Attractive	hấp dẫn
Attribute	thuộc tính
Auction	bán đấu giá
Audience	thính giả
Aunt	cô dì
Author	tác giả
Authority	thẩm quyền
Authorize	cho phép
Auto	Tự động
Automatic	tự động
Automatically	tự động
Automobile	ôtô
Autonomy	tự trị
Availability	khả dụng
Available	có sẵn
Available capacity	dung lượng có sẵn
Available energy	năng lượng khả dụng
Available execution time	thời gian hành xử được
Available machine time	thời gian dùng được máy
Available power	công suất hữu hiệu, công suất khả dụng
Avalanche breakdown	sự suy sụp do dòng điện thác
Avalanche current	dòng điện thác
Avalanche diode	đèn hai cực thác
Avalanche formation	hình thành thác
Avalanche impedance	trở kháng thác
Avalanche injection	phun thác
Avalanche injection laser	bộ kích quang phun thác
Avalanche ionization	ly tử hóa (do hiệu ứng) thác
Avalanche multiplication	nhân thác
Avalanche multiplication factor	hệ số nhân thác
Avalanche noise	nhiễu âm thác
Avalanche photodevice	bộ quang thác
Avalanche photodiode	đèn hai cực quang thác
Avalanche transistor	đèn tinh thể (trăng-xít-to) thác
Avalanche triggering	kích động thác
Avalanche triode	đèn ba cực thác
Avarice	tính hám lợi, tính tham lam
Avaricious	hám lợi, tham lam
Avariciously	tham lam
Avariciousness	tính hám lợi, tính tham lam
Avascular	(sinh học) không mạch
Avast	đứng lại, dừng lại
Avaunt	đi đi
Avenger	người trả thù, người báo thù
Avengingly	xem avenge
Avens	số nhiều avens
Average	Trung bình cộng
Average adjuster	người xét định những thiệt hại trên mặt biển
Average bright	độ chói trung bình
Average calculating time	thời gian tính toán trung bình
Average capacity	dung lượng trung bình
Average delay time	thời gian chậm trễ trung bình
Average density	mật độ trung bình
Average frequency	tần số trung bình
Average total cost	tổng chi phí bình quân
Average value	trị số trung bình
Average variable cost	avc-chi phí khả biến bình quân.
Averaged characteristic	đặc tính trung bình
Averagely	trung bình
Averageness	xem average
Averaging	lấy trung bình (d)
Averaging principle	nguyên lý trung bình
Averaging rectifier	bộ chỉnh lưu trung bình
Averment	sự xác nhận; sự khẳng định, sự quả quyết
Averrable	xem aver
Averruncator	kéo tỉa cành cao su
Averse	chống lại, ghét
Avesta	thánh kinh ba tư giáo
Avestan	tiếng avexta (tiếng iran cổ)
Avian	(thuộc) loài chim
Aviarist	người nuôi chim
Aviary	chuồng chim
Aviate	bay, đi (bằng máy bay, khí cầu)
Aviation service	(tech) ngành hàng không
Aviator	người lái máy bay, phi công
Aviatress	nữ phi công
Aviatrice	nữ phi công
Aviatrix	nữ phi công
Aviculture	nghề nuôi chim
Aviculturist	xem aviculture
Avid	khao khát, thèm khát(tham lam)
Avidly	say sưa, ngấu nghiến
Aviette	(hàng không) máy bay nhỏ, máy bay loại nhẹ
Avifauna	hệ chim (của một vùng, một xứ)
Avifaunal	xem avifauna
Avionic	xem avionics
Avionics	(tech) kỹ thuật điện tử hàng không
Aviso	(hàng hải) tàu thông báo
Avitaminosis	(y học) bệnh thiếu vitamin
Avitaminotic	xem avitaminosis
Avocado	(thực vật học) lê tàu
Avocation	công việc phụ; việc lặt vặt
Avocational	xem avocation
Avocationally	xem avocation
Avocet	(động vật học) chim mỏ cứng
Avogadrós number	(tech) số avôgaddrô
Avoid	tránh
Avoidable	có thể tránh được
Avowal	sự nhận; sự thừa nhận; sự thú nhận
Avowed	đã được công khai thừa nhận; đã được công khai thú nhận
Avowedly	đã được công khai thừa nhận; đã được công khai thú nhận
Avuncular	(thuộc) chú, (thuộc) bác, (thuộc) cậu; như chú, như bác, như cậu
Awacs	hệ thống báo và điều khiển trên không (airborne warning and control system)
Await	chờ đợi
Awaiting	thời gian chờ đợ sửa chữa
Awake	thức tỉnh
Awakener	xem awaken
Awakening	hành vi nhận thức
Award	giải thưởng
Awardable	xem award
Awardee	người được tặng thưởng
Awarder	xem award
Aware	ý thức
Awareness	nhận thức
Awash	vị ngữ trôi nổi trên mặt nước
Away	xa
Away game	(thể dục,thể thao) cuộc đấu ở sân đối phương
Awesomeness	tính đáng kinh sợ; sự làm khiếp sợ; sự làm kinh hoàng
Awestricken	kinh sợ; khiếp sợ; kinh hoàng
Awestruck	kinh sợ; khiếp sợ; kinh hoàng
Awful	kinh khủng
Awfully	tàn khốc, khủng khiếp|- vô cùng, hết sức
Awhile	một lúc, một lát, một chốc
Axeman	người dùng rì
Axial field	(tech) trường hướng trục
Axial lead	(tech) đầu ra theo trục
Axial mode	(tech) kiểu dao động xuyên tâm
Axial mode helix	(tech) đường xoắn ốc kiểu dọc trục
Axial ratio	(tech) tỷ số trục (hình bầu dục)
Axial slot	(tech) khe theo trục
Axial symmetry	(tech) tính đối xứng theo trục
Axiality	xem axial
Axially	xem axial
Axil	(thực vật học) nách lá
Axile	(sinh học) đính trụ; gắn trụ
Axilla	(giải phẫu) nách|- (thực vật học) (như) axil
Axillae	(giải phẫu) nách|- (thực vật học) (như) axil
Axillary	(giải phẫu) (thuộc) nách|- (thực vật học) ở nách lá
Axiology	thuyết giá trị; giá trị học
Axiomatizability	tính tiên đề hoá
Axiomatizable	tiên đề hoá được
Axiomatization	tiên đề hoá
Axipetal	hướng trục, hướng trụ
Axisymmetric(al)	đối xứng theo trục
Axle	(kỹ thuật) trục xe
Axle grease	mỡ tra trục, mỡ tra máy
Axoid	dạng trục
Axoloti	(sinh vật) ấu trùng axoloti
Axon	sợi trục (thần kinh),  axon
Axonometry	(toán học) trục lượng học
Axopetal	(sinh học) hướng trục
Axoplasm	(sinh học) chất sợi trục
Axoplast	hạt sợi trục
Axopodium	(sinh học) chân giả sợi trục
Axosomatic	thuộc thể trục
Axostyle	(sinh học) cuống trục
Ayah	anh-ân vú em; người hầu gái
Ayatollah	thủ lĩnh cao tuổi của hồi giáo ở iran
Aye	luôn luôn; trong mọi trường hợp
Azalea	(thực vật học) cây khô (họ đỗ quyên)
Azilian	(thuộc) thời kỳ azin (thời kỳ chuyển tiếp giữa thời kỳ đồ đá cũ và thời kỹ đồ đá mới)
Azimith	góc cực
Azimuth beam	(tech) góc phương vị
Azimuth coverage	(tech) phạm vi/góc quét phương vị
Azimuth drive	(tech) truyền động phương vị
Azimuth potentiometer	(tech) máy điện thế phương vị, bộ biến trở phương vị
Azimuth rate	(tech) tốc độ thay đổi phương vị
Azimuth resolution	(tech) độ phân giải phương vị
Azimuth selsyn	(tech) máy tự đồng bộ phương vị
Azimuth sweep	(tech) quét phương vị
Azimuthal	(thuộc) góc phương vị
Azimuthal component	(tech) thành phần phương vị
Azimuthally	xem azimuth
Azin	(hoá học) azin
Azoic	vô sinh|- (địa lý,địa chất) không có tàn tích hữu cơ
Azole	(hoá học) nitơ
Azolla	(thực vật học) bèo dâu, bèo hoa dâu
Azonal	(địa lý) phi địa đới
Azotaemia	(y học) hứng tăng urê huyết
Azote	(hoá học) nitơ
Azoth	thủy ngân
Azotobacter	(sinh học) đạm khuẩn
Azotobacterin	phân azotobacterin
Azoturia	(y học) chứng đái nitơ
Aztec	người axtec (ở mêc-xich,  bắc mỹ)
Azurit	(khoáng chất) azurit
Azygous	(sinh vật học) đơn (tĩnh mạch, động mạch)
Azymic	không lên men
Azymous	không men
Babe	(thơ ca) trẻ sơ sinh,
Babel	(kinh thánh) (babel) tháp ba-ben
Babirusa	cũng babirussa,  babiroussa
Baboon	(động vật học) khỉ đầu chó
Baboonery	xem baboon
Baboonish	xem baboon
Babu	số nhiều babus
Baby	đứa bé
Baby buggy	xe đẩy trẻ con
Baby carriage	xe đẩy trẻ con
Baby grand	đàn piano cánh loại nhỏ
Baby talk	tiến bi bô (của trẻ em)
Baby tooth	răng sữa
Babyhood	tuổi thơ
Babyish	trẻ con, như trẻ con
Babyishness	tính trẻ con, tính như trẻ con
Babyism	tính trẻ con, tính như trẻ con
Bacalao	cá tuyết to đầu muối phơi khô
Bacca	số nhiều baccae
Baccalaureate	bằng tú tài
Baccarat	(đánh bài) trò chơi bacara
Baccate	mềm như quả mọng
Bacchae	các nữ tu sĩ của bắc cút (thần rượu nho)
Bacchanal	(thuộc) thần bắc-cút
Bacchanalia	thầy tế thần rượu bắc-cút
Bacchanalian	(số nhiều) buổi tế thần rượu bắc-cút
Bacchant	thầy tế thần rượu bắc-cút
Bacchantic	xem bacchant
Bacchic	(thuộc) thần bắc-cút
Bacchus	(thần thoại,thần học) thần rượu bắc-cút
Bacciferous	(thực vật học) có quả mọng, mang quả mọng
Bacciform	hình quả mọng
Baccivorous	(động vật học) ăn quả mọng
Baccy	(thông tục) thuốc lá
Bachelor	người chưa vợ
Bachelorhood	đời sống độc thân
Bachelorship	(như) bachelorhood
Bacillary	(thuộc) khuẩn que
Bacilli	khuẩn que
Bacilliform	hình que
Bacillus	khuẩn que
Bacitracin	thuốc kháng sinh
Back	trở lại
Back bench	hàng ghế sau (dành cho nghị viên thứ yếu của mỗi đảng có đại diện, ở nghi viện anh)
Back conduction	(tech) dẫn ngược
Back coupling	(tech) ghép ngược
Back dating	(tech) ghi lại ngày trước
Back door	cửa sau, cổng sau (nghĩa đen) & bóng
Back end	(tech) đầu sau, đoạn cuối
Back feed	(tech) cung cấp ngược lại
Back formation	[phương thức tạo] từ tưởng như có nguồn gốc ngược lại
Back lash	(tech) voltage điện áp lưới ngược
Back lash potential	(tech) điện thế lưới ngược
Back number	số (tạp chí...) cũ
Back of	(từ mỹ,nghĩa mỹ) đằng sau
Back out	(tech) hoàn nguyên
Back out of	(tech) lùi ra khỏi, ngược về
Back page	(tech) trang mặt sau
Back panel	(tech) bảng mặt sau (máy điện toán)
Back propagation	(tech) truyền lan ngược
Back reference	(tech) tham khảo ngược
Back resistance	(tech) điện trở ngược
Back scattering	(tech) tán xạ ngược
Back scheduling	(tech) lập thời biểu ngược
Back seat	ghế sau trong xe ôtô
Back slang	lời nói đảo (như ynnep thay cho penny)
Back stroke	(tech) chuyển động lùi
Back voltage	(tech) điện áp ngược
Backache	chứng đau lưng
Backbit	nói vụng, nói xấu sau lưng
Backbite	nói vụng, nói xấu sau lưng
Backbiter	kẻ
Backbiting	sự nói vụng, sự nói xấu sau lưng
Backbitten	nói vụng, nói xấu sau lưng
Backboard	ván hậu (xe bò...)
Backbone	xương sống
Backboned	xem backbone
Backcomb	chải ngược từ đầu đến chân tóc, để tóc có vẻ dầy lên
Backcross	(sinh học) lai ngược (giao phối một con lai với bố hoặc mẹ)
Backdate	coi là có giá trị kể từ một thời điểm nào đó trong quá khứ
Backdive	nhảy cầu xuống nước bằng cách quay lưng về phía nước
Backdrop	tấm màn vẽ căng sau sân khấu
Backelordom	xem bachelor
Backer	người giúp đỡ, người ủng hộ
Backfill	lấp đất lại (đặc biệt sau một cuộc khai quật (khảo cổ học))
Backfire	đốt lửa chặn (cho một đám cháy khỏi lan hết cánh đồng cỏ)
Backgammon	cờ tào cáo
Background	lý lịch
Background information	(tech) thông tin cơ sở, tin tức nguồn cội
Background job	(tech) công việc thứ cấp, công việc bối cảnh
Background mode	(tech) chế độ thứ cấp
Background noise	(tech) tiếng ồn phông, tiến ồn bối cảnh, nhiễu loạn xung quanh
Background printing	(tech) in trong bối cảnh
Background processing	(tech) xử lý trong bối cảnh
Background sound	(tech) âm tạp, âm nền, âm bối cảnh
Backhand	(thể dục,thể thao) cú ve, quả trái
Backhanded	trái, sấp tay
Backhander	cú đánh trái, cái tát trái
Backhouse	(từ mỹ) nhà vệ sinh ở ngoài nhà
Backing	sự giúp đỡ
Backing memory	(tech) bộ nhớ lưu
Backing out	(tech) hồi phục ngược [nb]
Backing storage	(tech) bộ trữ dự phòng
Backing up	(tech) dự phòng
Backing up system	(tech) hệ thống sao trữ dự phòng
Backlash	(tech) khe, khoảng trống
Backless	cắt thấp ở phía lưng (nói về quần áo)
Backlight	(tech) ánh sáng bối cảnh
Backlist	danh mục các sách đang in của nhà xuất bản
Backlog	dự trữ
Backmost	cuối cùng, tít cùng đằng sau
Backpack	cái ba lô đeo trên vai
Backpacker	khách du lịch chỉ có hành lý gọn nhẹ là một chiếc ba lô
Backpacking	xem backpack
Backplane	tấm lưng (một loại board mẹ trong máy tính cá nhân)
Backplane	bảng chính, bảng hệ thống
Backrest	cái dùng để tựa lưng
Backrolling	(tech) quấn ngược
Backroom boys	(thông tục) những người nghiên cứu bí mật
Backscattering	(tech) tán xạ ngược
Backscratcher	cái dùng để gải lưng
Backside	mông đít
Backsight	cảnh gần mắt nhất khi ngắm súng
Backslash	(tech) dấu chéo ngược
Backslide	tái phạm, lại sa ngã
Backslider	kẻ tái phạm
Backsliding	sự tái phạm
Backspace	chuyển cần máy chữ ngược lại một hoặc nhiều khoảng, bằng cách bấm vào một phím đặc biệt dành cho việc này
Backspace (bs)	(tech) lùi một nấc, xóa ngược
Backspace character	(tech) ký tự lùi
Backspace key	(tech) phím lùi
Backspace statement	(tech) câu lệnh lùi
Backstage	ở sau sân khấu, ở hậu trường (nghĩa đen) & (nghĩa bóng)
Backstairs	(số nhiều) cầu thang sau
Backstay	(hàng hải) ((thường) số nhiều) dây néo sau (néo cột buồm)
Backstop technology	(econ) công nghệ chặng cuối
Backstreet	phố hẹp (thường) ở phía sau các ngôi nhà
Backstroke	cú trái
Backstrokeer	xem backstroke
Backswept	nghiêng về phía sau
Backtab	(tech) lùi cột
Backtalk	(thông tục) đối đáp lại
Backtrack	quay về theo lối cũ
Backtracking	(tech) tìm ngược, truy tích nghịch
Backup	(tech) dự phòng
Backup copy	(tech) bản sao dự phòng
Backup device	(tech) thiết bị sao dự phòng
Backup disk	(tech) đĩa sao dự phòng
Backup diskette	(tech) đĩa nhỏ sao dự phòng
Backup file	(tech) tập tin sao dự phòng
Backup media	(tech) môi thể dự phòng
Backveld	cũng backveldt
Backward	về phía sau, giật lùi
Backward bending supply curve of labour	(econ) đường cung lao động cong về phía sau.
Backward equation	(tech) phương trình thức lùi
Backward intergration	(econ) liên hợp thượng nguồn.
Backward linkage	(econ) liên kết thượng nguồn.
Backward pointer	(tech) con trỏ ngược
Backward search	(tech) tìm ngược
Backward signal	(tech) tín hiệu nghịch hướng [nb]
Backward signaling	(tech) báo hiệu đằng sau
Backward substitution	(tech) thay thế lùi [nb]
Backward voltage	(tech) điện áp ngược
Backward wave	(tech) sóng phản hồi
Backwardly	xem backward
Backwardness	tình trạng lạc hậu, tình trạng chậm tiến
Backwards	(như) backward
Backwash	nước xoáy ngược, nước cuộn ngược, nước bị mái chèo đẩy ngược
Backwash effects	(econ) hiệu ứng ngược.
Backwater	chỗ nước đọng ở bờ (sông hay lạch)
Backway	con đường hẻm, con đường vắng
Backwood	(thuộc) rừng xa xôi hẻo lánh
Backwoods	(số nhiều) rừng xa xôi hẻo lánh
Backwoodsman	người sống ở rừng
Backyard	sân sau
Bacon	thịt lưng lợn muối xông khói
Bacteraemia	hiện tượng có vi khuẩn bất thường trong máu
Bacteria	vi khuẩn
Bacterial	(thuộc) vi khuẩn
Bacterially	xem bacterial
Bactericide	thuốc diệt vi khuẩn, thuốc sát trùng
Bacterin	vắc xin chế từ vi khuẩn đã chết hoặc không còn khả năng truyền bệnh
Bacteriocin	thuốc kháng sinh làm bằng vi khuẩn
Bacteriological	(thuộc) vi khuẩn học
Bacteriologist	nhà vi khuẩn học
Bacteriology	khoa nghiên cứu vi khuẩn
Bacteriolysis	sự tiêu vi khuẩn, sự tan vi khuẩn
Bacteriophage	vật ăn vi khuẩn
Bacteriostasis	sự kìm hãm vi khuẩn
Bacteriostat	chất kìm hãm vi khuẩn
Bacteriostatic	kìm hãm vi khuẩn
Bacterium	vi khuẩn
Bacteriuria	tình trạng có vi khuẩn trong nước tiểu
Baculine	bằng roi vọt, bằng đòn vọt
Bad	xấu
Bad debt	món nợ không có khả năng hoàn lại
Bad disk	(tech) đĩa hư
Bad lands	(từ mỹ,nghĩa mỹ) vùng đất đai cằn cỗi
Bad language	lời nói thô tục
Bad money drive out good	(econ) đồng tiền xấu đuổi đồng tiền tốt.
Bad packet	(tech) gói hư
Bad sector	(tech) cung hư
Bad track	(tech) đường hư
Baddish	chẳng hay hớm gì
Bade	sự đặt giá, sự trả giá (trong một cuộc bán đấu giá)
Badge	huy hiệu, phù hiệu
Badge reader	(tech) bộ đọc thẻ nhân viên
Badger	(tiếng địa phương) người bán hàng rong
Badinage	sự đùa cợt, sự đùa bỡn
Badlands	(từ mỹ) vùng đất cằn cỗi, lởm chởm đá
Badly	tệ
Badminton	(thể dục,thể thao) cầu lông
Badness	sự xấu, sự tồi
Baedeker	sổ tay hướng dẫn du lịch
Baffle	sự cản trở, sự trở ngại
Baffler	(kỹ thuật) bộ giảm âm
Baffy	(thể dục,thể thao) gậy đánh gôn
Bafta	viện hàn lâm nghệ thuật phim và truyền hình anh quốc 
Bag	túi
Bagasse	bã mía
Bagatelle	vật không giá trị, vật không đáng giá là bao nhiêu
Bagel	chiếc nhẫn
Bagful	bao (đầy), túi (đầy), 
Baggage	(từ mỹ,nghĩa mỹ) hành lý
Baggage animal	súc vật chở hành lý (trang bị...) của quân đội
Baggage car	(từ mỹ,nghĩa mỹ) toa hành lý
Baggage train	(từ mỹ,nghĩa mỹ) xe lửa chở hành lý
Baggieness	sự rộng lùng thùng, sự phồng ra
Bagginess	sự rộng lùng thùng, sự phồng ra
Bagging	vải may bao, vải may túi
Baggy	rộng lùng thùng, phồng ra (quần...
Bagman	người đi chào hàng
Bagnio	nhà giam, nhà tù (ở phương đông)
Bagpipe	kèn túi (của những người chăn cừu ở ê-ãcốt)
Bagpiper	người thổi kèn túi
